City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
357,yarmouth,41.7057,-70.2286,69.96,90,0,6.91,US,1657358248
358,wahiawa,21.5028,-158.0236,73.2,81,100,3.44,US,1657358248
359,ixtapa,20.7,-105.2,76.23,94,100,4.61,MX,1657358248
360,lluta,-16.0147,-72.0142,44.6,33,10,0.56,PE,1657358249
361,smithers,54.7804,-127.1743,53.92,82,100,0,CA,1657358249
362,batagay-alyta,67.8006,130.4114,59.86,53,25,14.58,RU,1657358249
363,wasilla,61.5814,-149.4394,60.89,65,100,11.5,US,1657358249
364,wawa,9.9022,4.4192,83.16,62,99,9.28,NG,1657358250
365,san patricio,28.017,-97.5169,84.88,90,2,7,US,1657358250
366,hare bay,48.8499,-54.0148,54.75,74,51,3.69,CA,1657358250
367,bengkulu,-3.8004,102.2655,83.91,69,18,9.8,ID,1657358250
368,visakhapatnam,17.69,83.2093,85.89,74,75,8.05,IN,1657358250
369,sao filipe,14.8961,-24.4956,73.44,83,46,6.4,CV,1657358064
370,krasnyy kurgan,43.9422,42.6108,81.48,65,5,6.4,RU,1657358251
371,morehead,37.2711,-87.1764,73.15,97,100,0,US,1657358251
372,marand,38.4329,45.7749,85.93,23,4,0.83,IR,1657358251
373,dikson,73.5069,80.5464,33.51,86,96,11.77,RU,1657358252
374,ngunguru,-35.6167,174.5,56.48,86,1,8.93,NZ,1657358252
375,kon tum,14.35,108,73.71,93,100,1.59,VN,1657358252
376,lerici,44.0759,9.9112,81.75,44,0,4,IT,1657358252
377,batemans bay,-35.7167,150.1833,56.1,72,83,10.07,AU,1657358252
378,san quintin,30.4833,-115.95,65.41,89,28,9.08,MX,1657358253
379,labuhan,-6.8844,112.2051,83.95,58,26,4.41,ID,1657358253
380,suntar,62.1444,117.6319,71.55,58,93,3.4,RU,1657358253
381,isangel,-19.55,169.2667,75.45,82,2,6.46,VU,1657358253
382,noyabrsk,63.1994,75.4507,86.43,40,14,16.31,RU,1657358254
383,sarakhs,36.5449,61.1577,98.74,14,0,6.91,IR,1657358244
384,mandalgovi,45.7625,106.2708,76.46,22,83,13.02,MN,1657358254
385,ponca city,36.707,-97.0856,75.88,86,0,4.61,US,1657358254
386,halifax,44.6453,-63.5724,58.89,84,53,3.44,CA,1657358254
387,tutoia,-2.7619,-42.2744,73.27,89,49,7.87,BR,1657358255
388,petropavlovka,50.6114,105.3196,70.72,49,99,1.03,RU,1657358255
389,brae,60.3964,-1.353,52.5,73,100,16.82,GB,1657358255
390,haines junction,60.7522,-137.5108,42.75,87,13,1.14,CA,1657358256
391,vuktyl,63.8567,57.3094,79.61,30,55,9.75,RU,1657358104
392,port moresby,-9.4431,147.1797,77.41,89,29,10.78,PG,1657358256
393,chicama,-7.8447,-79.1469,59.54,87,88,3.33,PE,1657358256
394,maneadero,31.7167,-116.5667,65.79,74,2,5.57,MX,1657358257
395,boralday,43.3578,76.8594,87.66,22,75,2.24,KZ,1657358257
396,terrace bay,48.7834,-87.1,46.89,84,13,3.89,CA,1657358257
397,alofi,-19.0595,-169.9187,71.49,94,73,6.91,NU,1657358258
398,pastavy,55.1168,26.8326,63.9,69,100,5.97,BY,1657358258
399,shiyan,32.6475,110.7781,91.42,40,16,12.26,CN,1657358258
400,soe,-9.8607,124.284,64.51,95,100,3.98,ID,1657358258
401,izhma,65.0083,53.9113,75.99,28,8,6.38,RU,1657358259
402,clyde river,70.4692,-68.5914,37.63,87,0,2.3,CA,1657358259
403,deputatskiy,69.3,139.9,39.09,94,100,4.94,RU,1657358259
404,biskupiec,53.8647,20.9569,64.22,61,97,10.96,PL,1657357961
405,chara,56.9064,118.2631,54.45,86,100,4.5,RU,1657358260
406,severo-kurilsk,50.6789,156.125,54,93,52,11.92,RU,1657358260
407,sigli,5.3848,95.9609,87.03,65,100,6.06,ID,1657358260
408,te anau,-45.4167,167.7167,34.02,87,100,7.29,NZ,1657358261
409,nuuk,64.1835,-51.7216,38.01,100,100,9.22,GL,1657358261
410,tsuyama,35.05,134,82.83,94,49,2.15,JP,1657358261
411,puerto leguizamo,-0.1934,-74.7819,69.82,100,100,1.61,CO,1657358261
412,broken hill,-31.95,141.4333,49.93,52,40,12.08,AU,1657358262
413,lorengau,-2.0226,147.2712,81.3,82,72,10.25,PG,1657358262
414,nangong,37.3581,115.3744,99.81,36,100,7.9,CN,1657358262
415,harper,4.375,-7.7169,76.23,82,100,12.01,LR,1657358262
416,bandarbeyla,9.4942,50.8122,88.57,41,80,33.46,SO,1657358262
417,vao,-22.6667,167.4833,74.91,84,0,11.77,NC,1657358263
418,petropavlovsk-kamchatskiy,53.0452,158.6483,68.11,79,100,1.5,RU,1657358074
419,dungarpur,23.8333,73.7167,89.83,55,99,14.03,IN,1657358248
420,saint-joseph,-21.3667,55.6167,73.78,65,43,17.78,RE,1657358263
421,shinshiro,34.9,137.5,80.37,89,100,4.54,JP,1657358263
422,maturin,9.75,-63.1767,71.74,99,89,3.6,VE,1657358263
423,klaksvik,62.2266,-6.589,50.92,80,100,7.7,FO,1657358263
